lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
49.8915,84.0783,11147,lightblue,Тұрғысын өзені – Кутиха ауылы,2026-03-25,Мәні,NA,149,26.8,0.2,NA 563,level
49.175,85.5817,11148,lightblue,Сарымсақты өзені – Қатон-Қарағай ауылы,2026-03-25,Мәні,NA,275,NA,0.2,600,level
49.8356,84.3296,11151,lightblue,Хамир өзені – Малеевск ауылы,2026-03-25,Мәні,NA,100,14.1,0.1,519 546,level
49.5542,83.0003,11155,lightblue,Тайынты өзені – Асубұлақ ауылы,2026-03-25,Мәні,NA,236,2.83,0.2,NA 513,level
49.8202,83.1452,11159,lightblue,Смолянка өзені – Северное ауылы,2026-03-25,Мәні,NA,59,0.66,0.2,546,level
49.3939,82.5608,11160,lightblue,Сибе өзені – Алғабас ауылы,2026-03-25,Мәні,NA,106,NA,1,NA 546,level
50.2677,83.3745,11163,lightblue,Үлбі өзені – Риддер қаласы,2026-03-25,Мәні,NA,319,,NA,563,level
50.0107,82.8419,11164,lightblue,Үлбі өзені – Перевалочная ауылы,2026-03-25,Мәні,380,98,28,0.2,545 564,level
50.02169,82.86806,11165,lightblue,Кіші Үлбі ө. – Новоульбинка а.,2026-03-25,Мәні,NA,205,NA,NA,NA 539,level
50.1905,82.58,11170,lightblue,Глубочанка өзені – Белокаменка ауылы,2026-03-25,Мәні,334,224,0.93,0.4,546 546,level
50.3647,83.4471,11173,lightblue,Шаровка өзені – Шаровка ауылы,2026-03-25,Мәні,NA,138,NA,0,NA 564,level
49.9877,82.2633,11187,lightblue,Дресвянка өзені – Отрадное ауылы,2026-03-25,Мәні,NA,90,7.66,0.1,546,level
50.2473,82.2437,11188,lightblue,Красноярка өзені – Предгорное ауылы,2026-03-25,Мәні,350,184,2.17,0.4,515,level
49.9888,82.9151,11189,lightblue,Үлбі өзені – Таулы Үлбі ауылы,2026-03-25,Мәні,380,149,,0.2,563,level
50.7702,83.0361,11199,lightblue,Оба өзені – Қарақожа ауылы,2026-03-25,Мәні,NA,181,20.2,0,NA 565,level
50.4874,82.4147,11203,lightblue,Оба өзені – Верхоба ауылы (Қарақожа),2026-03-25,Мәні,450,188,,0.2,539,level
50.613,81.8762,11207,lightblue,Оба өзені – Шемонаиха ауылы,2026-03-25,Мәні,430,169,43.3,0.2,539 566,level
50.50781,81.70256,11208,lightblue,Оба ө. – Красный Яр а.,2026-03-25,Мәні,NA,188,NA,NA,NA 564,level
49.6994,81.5063,11213,lightblue,Қызылсу өзені – Шалабай ауылы,2026-03-25,Мәні,NA,167,0.69,0.6,600,level
49.5849,81.0673,11218,lightblue,Шар өзені – Шар қ.,2026-03-25,Мәні,NA,262,NA,0,NA 565,level
50.3807,82.7282,11220,lightblue,Кіші Оба өзені – Быструха ауылы,2026-03-25,Мәні,NA,438,NA,0,539 540,level
50.1463,81.853,11221,lightblue,Жартас өзені – Гагарино ауылы,2026-03-25,Мәні,NA,140,0.48,0,NA 563,level
49.1633,81.9697,11233,lightblue,Шар өзені – Кеңтарлау ауылы,2026-03-25,Мәні,490,285,5.2,0.2,600,level
51.7242,72.3037,11242,lightblue,Сілеті өзені – Новомарковка ауылы,2026-03-25,Мәні,1250,NA,NA,NA,575,level
52.0006,72.6833,11253,lightblue,Сілеті өзені – Селетин су қоймасынан жоғары (Бестоғай),2026-03-25,Мәні,1500,818,NA,NA,565 665,level
51.9569,69.9765,11262,lightblue,Боксук өзені – Журавлевка ауылы,2026-03-25,Мәні,690,282,NA,NA,565 665,level
53.53417,71.55833,11264,lightblue,Шат ө. – Ленинградское а.,2026-03-25,Мәні,NA,485,NA,NA,565,level
51.5363,71.9311,11272,lightblue,Сілеті өзені – Приречное ауылы,2026-03-25,Мәні,500,149,NA,NA,565 665,level
52.43167,66.74472,11274,lightblue,Есіл ө. – Шоптыкөл а.,2026-03-25,Мәні,NA,292,NA,NA,565,level
52.4939,73.2855,11275,lightblue,Сілеті өзені – Изобильное ауылы,2026-03-25,Мәні,800,342,30.2,0.3,538 542,level
